model_name,plant_species,precision,recall,f1_score
mobilenet_124,Heliotropium arbainense Fresen.,0.4188034188034188,0.44954128440366975,0.4336283185840708
mobilenet_124,Iphiona mucronata (Forssk.) Asch. & Schweinf.,0.0,0.0,0.0
mobilenet_124,Limonium pruinosum (L.) Chaz.,0.49074074074074076,0.43089430894308944,0.4588744588744589
mobilenet_124,Lycium shawii Roem. & Schult.,0.23426573426573427,0.536,0.3260340632603406
mobilenet_124,Nitraria retusa (Forssk.) Asch.,0.33620689655172414,0.15918367346938775,0.21606648199445982
mobilenet_124,Ochradenus baccatus Delile,0.6091549295774648,0.6797642436149313,0.6425255338904364
mobilenet_124,Peganum harmala L.,0.10714285714285714,0.014423076923076924,0.025423728813559324
mobilenet_124,Rumex vesicarius L.,0.4666666666666667,0.10194174757281553,0.16733067729083664
mobilenet_124,Salsola imbricata Forssk.,0.6724137931034483,0.0783132530120482,0.14028776978417265
mobilenet_124,Stachys aegyptiaca Pers.,0.5087719298245614,0.21641791044776118,0.3036649214659686
mobilenet_124,Suaeda aegyptiaca (Hasselq.) Zohary,0.1,0.0425531914893617,0.05970149253731343
mobilenet_124,Tamarix nilotica (Ehrenb.) Bunge,0.32075471698113206,0.6918604651162791,0.43830570902394106
mobilenet_124,Trichodesma africanum (L.) Sm.,0.2727272727272727,0.1125,0.1592920353982301
mobilenet_124,Zilla spinosa (L.) Prantl,0.8195876288659794,0.3063583815028902,0.44600280504908835
mobilenet_124,Zygophyllum arabicum (L.) Christenh. & Byng,0.12048192771084337,0.21505376344086022,0.15444015444015444
mobilenet_124,Zygophyllum coccineum L.,0.06802721088435375,0.2127659574468085,0.10309278350515463
mobilenet_124,Zygophyllum molle (Delile) Christenh. & Byng,0.0,0.0,0.0
mobilenet_124,Average Performance (Macro),0.33791499457919927,0.21783244696602788,0.2257213685787579
mobilenet_125,Anabasis articulata (Forssk.) Moq.,0.6029411764705882,0.1305732484076433,0.21465968586387435
mobilenet_125,Anabasis setifera Moq.,0.1875,0.3221476510067114,0.23703703703703705
mobilenet_125,Atriplex halimus L.,0.3333333333333333,0.42,0.37168141592920356
mobilenet_125,Calotropis procera (Aiton) W.T.Aiton,0.7090909090909091,0.18571428571428572,0.2943396226415094
mobilenet_125,Capparis spinosa L.,0.2743362831858407,0.1834319526627219,0.2198581560283688
mobilenet_125,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,0.07936507936507936,0.044642857142857144,0.05714285714285714
mobilenet_125,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0.5384615384615384,0.08235294117647059,0.14285714285714285
mobilenet_125,Deverra tortuosa (Desf.) DC.,0.08333333333333333,0.015384615384615385,0.025974025974025976
mobilenet_125,Deverra triradiata Hochst. ex Boiss.,0.12121212121212122,0.13333333333333333,0.12698412698412698
mobilenet_125,Diplotaxis harra (Forssk.) Boiss.,0.6770833333333334,0.2480916030534351,0.36312849162011174
mobilenet_125,Echinops glaberrimus DC.,0.14285714285714285,0.17391304347826086,0.1568627450980392
mobilenet_125,Ephedra alata Decne.,0.07792207792207792,0.21428571428571427,0.11428571428571428
mobilenet_125,Farsetia aegyptia Turra,0.39080459770114945,0.1504424778761062,0.21725239616613418
mobilenet_125,Gymnocarpos decander Forssk.,0.6260869565217392,0.26181818181818184,0.36923076923076925
mobilenet_125,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,0.203125,0.08024691358024691,0.11504424778761062
mobilenet_125,Heliotropium arbainense Fresen.,0.45535714285714285,0.46788990825688076,0.46153846153846156
mobilenet_125,Iphiona mucronata (Forssk.) Asch. & Schweinf.,0.0,0.0,0.0
